 school   teacher    student       ses      test    score
   10       10668       330         0      qual       40
   10       10668       330         0      quan       40
   10       10668       331         1      qual       53
   10       10668       331         1      quan       26
   10       10668       332         1      qual       45
   10       10668       332         1      quan       25
   11       11664       333         0      qual       36
   11       11664       333         0      quan       27
   11       11664       334         1      qual       51
   11       11664       334         1      quan       46
   11       11664       335         0      qual       42
   11       11664       335         0      quan       33
   11       11664       336         0      qual       58
   11       11664       336         0      quan       31
   11       11664       337         0      qual       48
   11       11664       337         0      quan       35
   11       11664       339         1      qual       62
   11       11664       339         1      quan       41
   11       11664       340         0      qual       40
   11       11664       340         0      quan       40
   11       11664       341         0      qual       29
   11       11664       341         0      quan       54
   11       11664       342         1      qual       59
   11       11664       342         1      quan       35
   11       11664       343         0      qual       51
   11       11664       343         0      quan       28
   11       11664       345         0      qual       36
   11       11664       345         0      quan       33
   11       11664       346         1      qual       60
   11       11664       346         1      quan       38
   11       11664       347         0      qual       31
   11       11664       347         0      quan       40
   11       11664       349         0      qual       22
   11       11664       349         0      quan       36
   11       11664       350         0      qual       20
   11       11664       350         0      quan       21
   11       11665       351         1      qual       45
   11       11665       351         1      quan       45
   11       11665       352         0      qual       56
   11       11665       352         0      quan       48
   11       11665       353         0      qual       40
   11       11665       353         0      quan       49
   11       11665       355         0      qual       45
   11       11665       355         0      quan       44
   11       11665       356         0      qual       32
   11       11665       356         0      quan       24
   11       11665       357         0      qual       35
   11       11665       357         0      quan       33
   11       11665       358         0      qual       22
   11       11665       358         0      quan       22
   11       11665       359         0      qual       28
   11       11665       359         0      quan       48
   11       11665       360         0      qual       32
   11       11665       360         0      quan       26
   11       11665       361         0      qual       46
   11       11665       361         0      quan       42
   11       11665       362         0      qual       36
   11       11665       362         0      quan       45
   11       11665       363         0      qual       39
   11       11665       363         0      quan       41
   11       11665       364         1      qual       43
   11       11665       364         1      quan       55
   11       11665       366         0      qual       47
   11       11665       366         0      quan       56
   11       11665       367         0      qual       32
   11       11665       367         0      quan       35
   11       11665       368         0      qual       42
   11       11665       368         0      quan       45
   11       11666       369         0      qual       27
   11       11666       369         0      quan       42
   11       11666       370         0      qual       31
   11       11666       370         0      quan       33
   11       11666       371         0      qual       52
   11       11666       371         0      quan       34
   11       11666       372         0      qual       42
   11       11666       372         0      quan       38
   11       11666       373         0      qual       43
   11       11666       373         0      quan       44
   11       11666       375         1      qual       47
   11       11666       375         1      quan       10
   11       11666       376         1      qual       44
   11       11666       376         1      quan       58
   16       16664       377         1      qual       30
   16       16664       377         1      quan       50
   16       16664       378         1      qual       34
   16       16664       378         1      quan       42
   16       16664       379         1      qual       42
   16       16664       379         1      quan       26
   16       16664       380         0      qual       49
   16       16664       380         0      quan       32
   16       16664       381         1      qual       41
   16       16664       381         1      quan       39
   16       16664       382         1      qual       46
   16       16664       382         1      quan       31
   16       16664       383         0      qual       38
   16       16664       383         0      quan       45
   16       16664       384         1      qual       58
   16       16664       384         1      quan       48
   16       16664       385         1      qual       20
   16       16664       385         1      quan       19
   16       16664       386         0      qual       28
   16       16664       386         0      quan       30
   16       16664       388         1      qual       30
   16       16664       388         1      quan       38
   16       16664       389         1      qual       46
   16       16664       389         1      quan       41
   16       16664       390         1      qual       36
   16       16664       390         1      quan       45
   16       16664       392         1      qual       42
   16       16664       392         1      quan       37
   16       16664       393         0      qual       21
   16       16664       393         0      quan       43
   16       16664       395         1      qual       40
   16       16664       395         1      quan       49
   16       16664       396         1      qual       39
   16       16664       396         1      quan       29
   16       16664       397         1      qual       39
   16       16664       397         1      quan       32
   16       16664       398         1      qual       42
   16       16664       398         1      quan       34
   16       16664       399         1      qual       46
   16       16664       399         1      quan       31
   16       16665       400         1      qual       48
   16       16665       400         1      quan       38
   16       16665       401         0      qual       82
   16       16665       401         0      quan       42
   16       16665       403         1      qual       48
   16       16665       403         1      quan       20
   16       16665       404         1      qual       38
   16       16665       404         1      quan       23
   16       16665       405         1      qual       29
   16       16665       405         1      quan       29
   16       16665       406         1      qual       36
   16       16665       406         1      quan       26
   16       16665       407         1      qual       40
   16       16665       407         1      quan       22
   16       16665       408         1      qual       41
   16       16665       408         1      quan       30
   16       16665       409         0      qual       49
   16       16665       409         0      quan       43
   16       16665       410         0      qual       40
   16       16665       410         0      quan       10
   16       16665       411         1      qual       34
   16       16665       411         1      quan       28
   16       16665       412         1      qual       46
   16       16665       412         1      quan       32
   16       16665       414         1      qual       27
   16       16665       414         1      quan       39
   16       16665       415         0      qual       44
   16       16665       415         0      quan       35
   16       16665       417         1      qual       30
   16       16665       417         1      quan       37
   16       16665       418         1      qual       -8
   16       16665       418         1      quan        2
   16       16665       419         1      qual       32
   16       16665       419         1      quan       36
   16       16665       421         1      qual       46
   16       16665       421         1      quan       34
   16       16665       422         1      qual       38
   16       16665       422         1      quan       56
   16       16665       423         1      qual       38
   16       16665       423         1      quan       27
   16       16665       424         1      qual       42
   16       16665       424         1      quan       31
   16       16665       425         1      qual       45
   16       16665       425         1      quan       48
   16       16665       426         1      qual       30
   16       16665       426         1      quan       38
   16       16665       427         1      qual       36
   16       16665       427         1      quan       44
   16       16665       428         0      qual       20
   16       16665       428         0      quan       21
   16       16665       429         0      qual       16
   16       16665       429         0      quan       26
   16       16665       430         1      qual       39
   16       16665       430         1      quan       50
   16       16665       431         1      qual       46
   16       16665       431         1      quan       26
   16       16665       432         1      qual       40
   16       16665       432         1      quan       21
   16       16665       434         1      qual       36
   16       16665       434         1      quan       34
   16       16665       435         1      qual       38
   16       16665       435         1      quan       17
   16       16665       436         1      qual       55
   16       16665       436         1      quan       41
   16       16665       437         1      qual       49
   16       16665       437         1      quan       39
   16       16665       439         1      qual       29
   16       16665       439         1      quan       29
   16       16665       440         1      qual       47
   16       16665       440         1      quan       39
   16       16666       441         1      qual       34
   16       16666       441         1      quan       30
   16       16666       442         0      qual       20
   16       16666       442         0      quan       22
   16       16666       443         1      qual       29
   16       16666       443         1      quan       41
   16       16666       444         1      qual       50
   16       16666       444         1      quan       33
   16       16666       445         0      qual       22
   16       16666       445         0      quan       26
   16       16666       446         1      qual       41
   16       16666       446         1      quan       24
   16       16666       447         1      qual       29
   16       16666       447         1      quan       26
   16       16666       448         1      qual       44
   16       16666       448         1      quan       20
   16       16666       449         1      qual       32
   16       16666       449         1      quan       33
   16       16666       450         1      qual       26
   16       16666       450         1      quan       29
   16       16666       452         1      qual       35
   16       16666       452         1      quan       37
   16       16666       453         1      qual       14
   16       16666       453         1      quan       30
   16       16666       454         1      qual       38
   16       16666       454         1      quan       58
   16       16666       455         1      qual       52
   16       16666       455         1      quan       43
   16       16666       456         1      qual       57
   16       16666       456         1      quan       33
   16       16666       457         1      qual       16
   16       16666       457         1      quan       40
   16       16666       458         1      qual        1
   16       16666       458         1      quan       31
   16       16666       459         1      qual       55
   16       16666       459         1      quan       45
   16       16666       460         0      qual       28
   16       16666       460         0      quan       27
   16       16666       461         1      qual       27
   16       16666       461         1      quan       38
   16       16666       462         1      qual       42
   16       16666       462         1      quan       51
   16       16666       463         1      qual       33
   16       16666       463         1      quan       31
   16       16666       465         0      qual       33
   16       16666       465         0      quan       42
   16       16666       466         1      qual       42
   16       16666       466         1      quan       32
   16       16666       467         1      qual       50
   16       16666       467         1      quan       35
   16       16666       468         1      qual       50
   16       16666       468         1      quan       34
   16       16666       469         1      qual       38
   16       16666       469         1      quan       33
   16       16666       470         1      qual       49
   16       16666       470         1      quan       51
   16       16666       471         1      qual       38
   16       16666       471         1      quan       18
   16       16666       472         1      qual       27
   16       16666       472         1      quan       38
   16       16666       473         1      qual       62
   16       16666       473         1      quan       40
   16       16666       474         1      qual       32
   16       16666       474         1      quan       40
   16       16666       475         0      qual       40
   16       16666       475         0      quan       38
   16       16666       476         1      qual       33
   16       16666       476         1      quan       39
   16       16666       477         1      qual       32
   16       16666       477         1      quan       33
   16       16666       478         1      qual       23
   16       16666       478         1      quan       53
   16       16666       479         1      qual       34
   16       16666       479         1      quan       49
   16       16666       480         1      qual       40
   16       16666       480         1      quan       72
   16       16667       481         1      qual       48
   16       16667       481         1      quan       45
   16       16667       482         1      qual       59
   16       16667       482         1      quan       43
   16       16667       483         0      qual       45
   16       16667       483         0      quan       35
   16       16667       484         1      qual       54
   16       16667       484         1      quan       27
   16       16667       485         1      qual       26
   16       16667       485         1      quan       33
   16       16667       486         1      qual       53
   16       16667       486         1      quan       39
   16       16667       487         1      qual       26
   16       16667       487         1      quan       58
   16       16667       488         1      qual       36
   16       16667       488         1      quan       36
   16       16667       489         1      qual       42
   16       16667       489         1      quan       37
   16       16667       490         1      qual       48
   16       16667       490         1      quan       32
   16       16667       491         1      qual       50
   16       16667       491         1      quan       40
   16       16667       492         1      qual       23
   16       16667       492         1      quan       54
   16       16667       493         1      qual       26
   16       16667       493         1      quan       41
   16       16667       495         1      qual       44
   16       16667       495         1      quan       31
   16       16667       496         1      qual       36
   16       16667       496         1      quan       51
   16       16667       497         0      qual       30
   16       16667       497         0      quan       36
   16       16667       498         0      qual       34
   16       16667       498         0      quan       42
   16       16668       499         1      qual       42
   16       16668       499         1      quan       38
   16       16668       500         1      qual       24
   16       16668       500         1      quan       40
   16       16668       501         0      qual       52
   16       16668       501         0      quan       38
   16       16668       502         0      qual       24
   16       16668       502         0      quan       23
   16       16668       503         0      qual       26
   16       16668       503         0      quan       30
   16       16668       504         1      qual       37
   16       16668       504         1      quan       40
   16       16668       505         0      qual       31
   16       16668       505         0      quan       29
   16       16668       507         0      qual       33
   16       16668       507         0      quan       25
   16       16668       508         1      qual       32
   16       16668       508         1      quan       34
   16       16668       509         1      qual       52
   16       16668       509         1      quan       54
   16       16668       511         1      qual       45
   16       16668       511         1      quan       38
   16       16668       512         1      qual       24
   16       16668       512         1      quan       37
   16       16668       513         1      qual       36
   16       16668       513         1      quan       34
   16       16668       514         1      qual       39
   16       16668       514         1      quan       35
   16       16668       515         0      qual       29
   16       16668       515         0      quan       19
   16       16668       516         1      qual       50
   16       16668       516         1      quan        3
   16       16668       517         1      qual       46
   16       16668       517         1      quan       35
   16       16668       518         1      qual       11
   16       16668       518         1      quan       37
   16       16668       519         1      qual       44
   16       16668       519         1      quan       43
   17       17666       520         1      qual       42
   17       17666       520         1      quan       49
   17       17666       521         1      qual       40
   17       17666       521         1      quan       38
   17       17666       522         0      qual       32
   17       17666       522         0      quan       25
   17       17666       523         1      qual       59
   17       17666       523         1      quan       29
   17       17666       524         0      qual        4
   17       17666       524         0      quan       32
   17       17666       526         1      qual       46
   17       17666       526         1      quan       46
   17       17666       527         0      qual       26
   17       17666       527         0      quan       49
   17       17666       528         1      qual       44
   17       17666       528         1      quan       31
   17       17666       530         1      qual       33
   17       17666       530         1      quan       43
   17       17666       531         1      qual       37
   17       17666       531         1      quan       28
   17       17666       532         1      qual       32
   17       17666       532         1      quan       33
   17       17666       533         0      qual       50
   17       17666       533         0      quan       45
   17       17666       534         0      qual       25
   17       17666       534         0      quan       30
   17       17666       535         1      qual       20
   17       17666       535         1      quan       55
   17       17666       536         1      qual       30
   17       17666       536         1      quan       31
   17       17666       537         0      qual       32
   17       17666       537         0      quan       38
   17       17666       538         1      qual       54
   17       17666       538         1      quan       44
   17       17666       539         1      qual       45
   17       17666       539         1      quan       57
   17       17666       540         0      qual       41
   17       17666       540         0      quan       32
   17       17667       541         1      qual       48
   17       17667       541         1      quan       30
   17       17667       542         0      qual       30
   17       17667       542         0      quan       25
   17       17667       543         1      qual       37
   17       17667       543         1      quan       35
   17       17667       545         1      qual       19
   17       17667       545         1      quan       29
   17       17667       546         1      qual        8
   17       17667       546         1      quan       22
   17       17667       547         0      qual       46
   17       17667       547         0      quan       33
   17       17667       548         1      qual       45
   17       17667       548         1      quan       34
   17       17667       549         1      qual       55
   17       17667       549         1      quan       40
   17       17667       550         0      qual       29
   17       17667       550         0      quan       30
   17       17667       551         0      qual       19
   17       17667       551         0      quan       42
   17       17667       552         0      qual       23
   17       17667       552         0      quan       22
   17       17667       553         0      qual       25
   17       17667       553         0      quan       39
   17       17667       554         1      qual       26
   17       17667       554         1      quan       22
   17       17667       555         1      qual       45
   17       17667       555         1      quan       29
   17       17667       556         1      qual       17
   17       17667       556         1      quan       25
   17       17667       557         0      qual       56
   17       17667       557         0      quan       31
   17       17667       558         1      qual       42
   17       17667       558         1      quan       16
   17       17667       559         0      qual       42
   17       17667       559         0      quan       31
   17       17667       560         1      qual       41
   17       17667       560         1      quan       38
   17       17667       561         1      qual       45
   17       17667       561         1      quan       38
   17       17667       562         0      qual       37
   17       17667       562         0      quan       34
   17       17667       563         1      qual       64
   17       17667       563         1      quan       23
   17       17667       564         0      qual       42
   17       17667       564         0      quan       19
   17       17667       565         0      qual       39
   17       17667       565         0      quan       49
   17       17667       566         0      qual       48
   17       17667       566         0      quan       23
   17       17667       567         1      qual        6
   17       17667       567         1      quan       33
   17       17668       568         1      qual       54
   17       17668       568         1      quan       39
   17       17668       569         0      qual       38
   17       17668       569         0      quan       39
   17       17668       570         0      qual       64
   17       17668       570         0      quan       54
   17       17668       571         0      qual       33
   17       17668       571         0      quan       27
   17       17668       572         0      qual       53
   17       17668       572         0      quan       42
   17       17668       573         0      qual       19
   17       17668       573         0      quan       42
   17       17668       574         0      qual       20
   17       17668       574         0      quan       30
   17       17668       575         0      qual       32
   17       17668       575         0      quan       45
   17       17668       576         1      qual       31
   17       17668       576         1      quan       44
   17       17668       577         0      qual       36
   17       17668       577         0      quan       24
   17       17668       578         1      qual       34
   17       17668       578         1      quan       37
   17       17668       579         0      qual       44
   17       17668       579         0      quan       26
   17       17668       580         0      qual       33
   17       17668       580         0      quan       51
   17       17668       581         0      qual       20
   17       17668       581         0      quan       20
   28       28669       582         0      qual       40
   28       28669       582         0      quan       35
   28       28669       583         1      qual       46
   28       28669       583         1      quan       30
   28       28669       584         1      qual       32
   28       28669       584         1      quan       39
   28       28669       585         0      qual       38
   28       28669       585         0      quan        7
   28       28669       586         1      qual       12
   28       28669       586         1      quan       24
   28       28669       587         0      qual       37
   28       28669       587         0      quan       19
   28       28669       588         1      qual       51
   28       28669       588         1      quan       25
   28       28669       589         0      qual       52
   28       28669       589         0      quan       19
   28       28669       590         0      qual       29
   28       28669       590         0      quan       28
   28       28669       591         1      qual       36
   28       28669       591         1      quan       31
   28       28669       592         1      qual       50
   28       28669       592         1      quan       24
   28       28669       593         1      qual       52
   28       28669       593         1      quan       38
   28       28669       594         0      qual       -4
   28       28669       594         0      quan       21
   28       28669       595         1      qual       63
   28       28669       595         1      quan       38
   28       28669       596         0      qual       30
   28       28669       596         0      quan       42
   28       28669       598         1      qual       50
   28       28669       598         1      quan       12
   28       28669       600         1      qual       39
   28       28669       600         1      quan       42
   28       28669       601         1      qual       40
   28       28669       601         1      quan       34
   28       28669       602         0      qual       24
   28       28669       602         0      quan       25
   28       28669       604         1      qual       35
   28       28669       604         1      quan       46
   28       28669       605         0      qual       36
   28       28669       605         0      quan       28
   28       28669       606         1      qual       35
   28       28669       606         1      quan       27
   28       28672       607         1      qual       36
   28       28672       607         1      quan       21
   28       28672       609         1      qual       18
   28       28672       609         1      quan        7
   28       28672       611         1      qual       42
   28       28672       611         1      quan       47
   28       28672       612         0      qual       44
   28       28672       612         0      quan       29
   28       28672       613         1      qual       39
   28       28672       613         1      quan       27
   28       28672       615         0      qual       22
   28       28672       615         0      quan       37
   28       28672       616         1      qual       36
   28       28672       616         1      quan       37
   28       28672       617         1      qual       48
   28       28672       617         1      quan       39
   28       28672       618         0      qual       29
   28       28672       618         0      quan       33
   28       28672       619         0      qual       21
   28       28672       619         0      quan       24
   28       28672       620         0      qual       42
   28       28672       620         0      quan       44
   28       28672       621         0      qual       25
   28       28672       621         0      quan       21
   28       28672       622         0      qual       28
   28       28672       622         0      quan       26
   28       28672       623         1      qual       54
   28       28672       623         1      quan       34
   28       28672       624         0      qual       40
   28       28672       624         0      quan       34
   28       28672       625         1      qual       38
   28       28672       625         1      quan       30
   28       28672       626         1      qual       21
   28       28672       626         1      quan       19
   28       28672       628         1      qual       58
   28       28672       628         1      quan       28
   28       28672       629         0      qual       36
   28       28672       629         0      quan       25
   29       29659       630         1      qual       32
   29       29659       630         1      quan       10
   29       29659       633         0      qual       36
   29       29659       633         0      quan       36
   29       29659       634         1      qual       38
   29       29659       634         1      quan       38
   29       29659       635         1      qual       32
   29       29659       635         1      quan       25
   29       29659       636         0      qual       52
   29       29659       636         0      quan       31
   29       29659       637         0      qual       27
   29       29659       637         0      quan       41
   29       29659       639         1      qual       41
   29       29659       639         1      quan       17
   29       29659       640         1      qual       36
   29       29659       640         1      quan       45
   29       29659       641         1      qual       48
   29       29659       641         1      quan       41
   29       29659       642         1      qual       34
   29       29659       642         1      quan       15
   29       29659       643         1      qual       21
   29       29659       643         1      quan       14
   29       29659       644         1      qual       42
   29       29659       644         1      quan       29
   29       29659       645         1      qual       42
   29       29659       645         1      quan       59
   29       29659       646         1      qual       41
   29       29659       646         1      quan       21
   29       29659       647         1      qual       33
   29       29659       647         1      quan       46
   29       29659       648         1      qual       48
   29       29659       648         1      quan       32
   29       29659       649         1      qual       34
   29       29659       649         1      quan       48
   29       29659       650         1      qual       38
   29       29659       650         1      quan       41
   29       29669       651         1      qual       30
   29       29669       651         1      quan       52
   29       29669       652         1      qual       26
   29       29669       652         1      quan       50
   29       29669       653         1      qual       45
   29       29669       653         1      quan       30
   29       29669       654         1      qual       30
   29       29669       654         1      quan       34
   29       29669       655         1      qual       59
   29       29669       655         1      quan       41
   29       29669       656         1      qual       20
   29       29669       656         1      quan        9
   29       29669       657         1      qual       16
   29       29669       657         1      quan       15
   29       29669       658         1      qual       35
   29       29669       658         1      quan       39
   31       31665       659         0      qual       49
   31       31665       659         0      quan       46
   31       31665       660         1      qual       45
   31       31665       660         1      quan       35
   31       31665       662         1      qual       58
   31       31665       662         1      quan       49
   31       31665       665         1      qual       39
   31       31665       665         1      quan       38
   31       31665       666         1      qual       52
   31       31665       666         1      quan       39
   31       31665       667         1      qual       32
   31       31665       667         1      quan       43
   31       31665       668         1      qual       68
   31       31665       668         1      quan       24
   31       31665       669         1      qual       53
   31       31665       669         1      quan       38
   31       31665       670         0      qual       31
   31       31665       670         0      quan       27
   31       31665       671         1      qual       32
   31       31665       671         1      quan       37
   31       31665       672         1      qual       44
   31       31665       672         1      quan       18
   31       31665       673         1      qual       48
   31       31665       673         1      quan       50
   31       31665       674         1      qual       40
   31       31665       674         1      quan       20
   31       31665       675         1      qual       38
   31       31665       675         1      quan       41
   31       31665       676         1      qual       41
   31       31665       676         1      quan       40
   31       31665       677         1      qual       60
   31       31665       677         1      quan       41
   31       31665       678         0      qual       26
   31       31665       678         0      quan       34
   31       31665       679         0      qual       40
   31       31665       679         0      quan       37
   31       31665       680         1      qual       49
   31       31665       680         1      quan       42
   31       31666       681         1      qual       39
   31       31666       681         1      quan       39
   31       31666       682         1      qual       22
   31       31666       682         1      quan       10
   31       31666       683         1      qual       38
   31       31666       683         1      quan       30
   31       31666       684         1      qual       54
   31       31666       684         1      quan       32
   31       31666       685         1      qual       41
   31       31666       685         1      quan       34
   31       31666       686         0      qual       37
   31       31666       686         0      quan       17
   31       31666       687         0      qual       55
   31       31666       687         0      quan       43
   31       31666       688         1      qual       28
   31       31666       688         1      quan       36
   31       31666       689         1      qual       31
   31       31666       689         1      quan       50
   31       31666       690         0      qual       45
   31       31666       690         0      quan       39
   31       31666       691         1      qual       50
   31       31666       691         1      quan       55
   31       31666       692         1      qual       54
   31       31666       692         1      quan       55
   31       31666       693         1      qual       40
   31       31666       693         1      quan       20
   31       31666       694         1      qual       41
   31       31666       694         1      quan       38
   31       31666       695         1      qual       56
   31       31666       695         1      quan       40
   31       31666       697         0      qual       36
   31       31666       697         0      quan       33
   31       31666       698         1      qual       37
   31       31666       698         1      quan       35
   31       31666       699         0      qual       46
   31       31666       699         0      quan       19
   31       31666       700         1      qual       32
   31       31666       700         1      quan       31
   31       31666       703         1      qual       26
   31       31666       703         1      quan       29
   31       31666       704         1      qual       30
   31       31666       704         1      quan       17
   31       31667       705         0      qual       30
   31       31667       705         0      quan       44
   31       31667       706         1      qual       43
   31       31667       706         1      quan       50
   31       31667       707         1      qual       27
   31       31667       707         1      quan       21
   31       31667       708         0      qual       38
   31       31667       708         0      quan       27
   31       31667       709         0      qual       30
   31       31667       709         0      quan       14
   31       31667       710         1      qual       30
   31       31667       710         1      quan       38
   31       31667       711         0      qual       22
   31       31667       711         0      quan       27
   31       31667       712         1      qual       44
   31       31667       712         1      quan        5
   31       31667       713         0      qual       59
   31       31667       713         0      quan       30
   31       31667       714         0      qual       20
   31       31667       714         0      quan       24
   31       31667       715         0      qual       37
   31       31667       715         0      quan       31
   31       31667       716         1      qual       47
   31       31667       716         1      quan       40
   31       31667       717         1      qual       45
   31       31667       717         1      quan       29
   31       31667       718         1      qual       43
   31       31667       718         1      quan       27
   31       31667       719         0      qual       36
   31       31667       719         0      quan       32
   31       31667       720         0      qual       17
   31       31667       720         0      quan       32
   31       31667       721         1      qual       26
   31       31667       721         1      quan       31
   31       31667       722         1      qual       22
   31       31667       722         1      quan       18
   31       31668       723         0      qual       43
   31       31668       723         0      quan       25
   31       31668       724         1      qual       46
   31       31668       724         1      quan       24
   31       31668       725         0      qual       22
   31       31668       725         0      quan       24
   31       31668       726         1      qual       45
   31       31668       726         1      quan       37
   31       31668       729         0      qual       24
   31       31668       729         0      quan       28
   31       31668       730         0      qual       34
   31       31668       730         0      quan       36
   31       31668       731         1      qual       38
   31       31668       731         1      quan       20
   31       31668       732         1      qual       27
   31       31668       732         1      quan       39
   31       31668       733         0      qual       41
   31       31668       733         0      quan       32
   31       31668       734         1      qual       33
   31       31668       734         1      quan        7
   31       31668       735         1      qual       40
   31       31668       735         1      quan       54
   31       31668       736         1      qual       44
   31       31668       736         1      quan       32
   31       31668       737         0      qual       34
   31       31668       737         0      quan       36
   31       31668       738         1      qual       42
   31       31668       738         1      quan       25
   31       31678       739         0      qual       44
   31       31678       739         0      quan       45
   31       31678       740         0      qual       34
   31       31678       740         0      quan       29
   31       31678       741         1      qual       32
   31       31678       741         1      quan       35
   31       31678       742         0      qual       48
   31       31678       742         0      quan       42
   31       31678       743         1      qual       36
   31       31678       743         1      quan       43
   31       31678       744         0      qual       54
   31       31678       744         0      quan       28
   31       31678       745         1      qual       37
   31       31678       745         1      quan       41
   31       31678       746         1      qual       52
   31       31678       746         1      quan       29
   31       31678       747         1      qual       32
   31       31678       747         1      quan       41
   31       31705       748         0      qual       36
   31       31705       748         0      quan       40
   32       32664       749         0      qual       32
   32       32664       749         0      quan       34
   32       32664       750         0      qual       25
   32       32664       750         0      quan       37
   32       32664       751         1      qual       44
   32       32664       751         1      quan       49
   32       32664       752         0      qual       49
   32       32664       752         0      quan       43
   32       32664       753         0      qual       39
   32       32664       753         0      quan       31
   32       32664       754         0      qual       26
   32       32664       754         0      quan       12
   32       32664       755         1      qual       34
   32       32664       755         1      quan       23
   32       32664       756         1      qual       51
   32       32664       756         1      quan       30
   32       32664       757         0      qual       41
   32       32664       757         0      quan       31
   32       32664       758         0      qual       41
   32       32664       758         0      quan       42
   32       32664       759         1      qual       45
   32       32664       759         1      quan       41
   32       32664       760         0      qual       52
   32       32664       760         0      quan       29
   32       32664       761         1      qual       24
   32       32664       761         1      quan       27
   32       32664       762         1      qual       28
   32       32664       762         1      quan       29
   32       32664       763         1      qual       41
   32       32664       763         1      quan       46
   32       32665       765         0      qual       18
   32       32665       765         0      quan       23
   32       32665       766         1      qual       30
   32       32665       766         1      quan       24
   32       32665       767         0      qual       34
   32       32665       767         0      quan       49
   32       32665       768         0      qual       31
   32       32665       768         0      quan       46
   32       32665       769         0      qual       35
   32       32665       769         0      quan       29
   32       32665       770         1      qual       50
   32       32665       770         1      quan        6
   32       32665       771         1      qual       43
   32       32665       771         1      quan       44
   32       32665       772         1      qual       38
   32       32665       772         1      quan       34
   32       32665       773         1      qual       36
   32       32665       773         1      quan       29
   32       32665       774         1      qual       41
   32       32665       774         1      quan       30
   32       32665       775         0      qual       31
   32       32665       775         0      quan       29
   32       32665       776         0      qual       29
   32       32665       776         0      quan       34
   32       32665       777         0      qual       -2
   32       32665       777         0      quan       24
   32       32665       778         1      qual       25
   32       32665       778         1      quan       26
   32       32665       780         1      qual       15
   32       32665       780         1      quan       23
   32       32665       781         1      qual       38
   32       32665       781         1      quan       30
   32       32665       782         0      qual       25
   32       32665       782         0      quan        9
   32       32665       783         1      qual       26
   32       32665       783         1      quan       26
