  AMCW  FCW Fcolor Fsurf
 15.20 22.2      5     4
 16.30 24.2      5     4
 15.90 23.2      5     4
 16.70 20.7      5     4
 15.50 21.1      5     4
 16.40 22.3      5     4
 16.60 20.7      5     4
 15.80 23.2      5     4
 15.80 22.0      5     4
 16.00 25.0      5     4
 16.40 22.5      5     4
 16.30 23.0      5     4
 16.10 21.3      5     4
 16.00 23.4      5     4
 16.70 21.9      5     4
 16.40 22.0      5     4
 17.10 24.0      5     4
 16.90 21.6      5     4
 17.40 23.0      5     4
 16.80 22.4      5     4
 18.00 21.8      5     4
 17.30 20.6      5     2
 15.00 21.5      5     3
 14.50 21.2      5     3
 13.80 19.8      5     3
 15.50 22.0      5     3
 16.40 23.5      5     3
 16.00 22.8      5     3
 17.10 20.0      5     3
 17.50 19.5      5     3
 16.50 26.7      5     3
 18.40 22.4      3     5
 17.50 22.0      5     4
 14.40 20.9      5     4
 15.60 21.0      5     4
 15.20 21.9      5     4
 14.30 22.8      5     4
 16.50 23.5      5     4
 15.50 22.9      5     4
 16.60 22.2      5     4
 15.70 22.3      5     4
 15.80 19.2      5     4
 16.50 22.6      5     4
 18.00 24.7      5     4
 18.30 20.8      5     4
 18.50 22.3      5     4
 17.90 22.7      5     4
 15.00 22.5      3     4
 15.40 20.2      5     2
 16.50 22.1      3     4
 15.00 23.5      5     3
 15.40 22.0      5     3
 15.40 22.0      5     3
 16.50 22.5      5     3
 16.20 21.0      5     3
 17.10 24.7      5     3
 15.30 22.0      5     3
 17.10 21.7      5     3
 17.60 22.3      5     3
 17.10 24.3      5     3
 17.00 24.7      5     3
 13.30 21.7      5     4
 15.10 22.7      5     4
 15.00 22.5      5     4
 16.10 20.7      5     4
 15.20 21.4      5     4
 15.50 20.5      5     4
 16.70 19.9      5     4
 17.20 21.2      5     4
 16.70 24.8      5     4
 16.70 23.7      5     4
 16.70 23.8      5     4
 15.00 23.5      5     4
 15.40 20.8      5     4
 16.50 21.4      5     4
 15.50 22.4      5     4
 15.20 24.0      5     4
 16.80 20.2      5     4
 15.80 22.3      5     4
 16.10 23.3      5     4
 16.90 21.4      5     4
 16.30 22.3      5     4
 18.30 24.4      5     4
 17.70 22.6      5     4
 16.80 21.8      5     4
 15.00 24.3      1     1
 13.70 19.6      1     1
 14.60 19.4      1     1
 16.60 23.7      1     1
 15.90 21.7      1     1
 17.40 21.5      1     1
 17.40 24.5      1     1
 12.90 19.4      1     2
 14.40 17.0      1     2
 14.80 23.7      1     2
 15.50 20.3      1     2
 15.70 20.7      1     2
 14.80 20.3      1     2
 18.00 21.4      1     2
 16.00 22.8      1     2
 15.60 21.7      1     2
 16.00 23.8      1     2
 16.00 19.3      1     2
 16.80 24.0      1     2
 17.40 22.9      1     2
 14.30 22.9      1     3
 14.90 21.9      1     3
 16.20 24.0      1     3
 18.20 23.1      1     3
 17.70 23.6      1     3
 16.00 21.6      3     2
 17.40 24.0      1     4
 19.00 24.1      1     4
 16.00 21.7      3     3
 13.70 24.5      3     3
 15.40 23.5      3     3
 15.70 22.8      3     3
 15.00 20.5      3     3
 14.90 22.3      3     3
 15.50 21.2      3     3
 16.20 23.5      3     3
 16.90 22.5      3     3
 16.50 22.3      3     3
 16.30 19.8      3     3
 17.80 23.3      3     3
 17.10 23.6      3     3
 16.90 23.6      3     3
 18.50 23.8      3     3
 18.30 22.0      3     3
 14.50 20.1      1     1
 16.50 22.7      1     1
 15.20 19.5      1     1
 14.00 21.0      1     2
 15.90 20.4      1     2
 16.40 21.2      1     2
 16.80 20.5      1     3
 16.60 24.9      1     3
 16.60 21.1      1     3
 15.50 24.2      1     3
 15.40 24.0      1     3
 15.90 20.0      1     4
 15.50 21.4      3     3
 16.00 19.5      3     3
 16.00 23.4      1     5
 17.10 21.2      1     5
 17.10 24.4      3     3
 17.80 21.5      3     3
 17.30 23.9      3     3
 18.50 23.6      1     5
 16.00 23.0      1     1
 18.00 21.0      1     1
 15.00 21.7      1     2
 15.60 20.9      1     2
 16.00 21.9      1     2
 17.00 21.5      1     2
 16.40 24.9      1     2
 15.80 23.4      1     2
 16.40 25.4      1     2
 17.50 21.7      1     2
 17.90 21.8      1     2
 17.00 22.8      1     3
 16.40 21.2      1     3
 16.80 23.0      1     3
 14.50 20.0      1     4
 14.90 27.2      3     2
 16.00 24.0      3     2
 18.20 24.0      3     2
 15.20 22.5      3     3
 16.40 23.7      3     3
 16.20 24.1      3     3
 17.00 23.4      1     5
 17.80 22.3      5     5
 14.80 23.2      5     5
 14.80 22.4      5     5
 18.40 22.5      5     5
 13.50 21.0      5     5
 14.50 18.0      5     5
 13.70 20.5      5     5
 14.00 22.4      5     5
 15.50 21.5      5     5
 14.50 23.0      5     5
 15.50 21.0      5     5
 16.40 22.5      5     5
 16.50 20.7      5     5
 16.00 20.0      5     5
 16.20 22.2      5     5
 16.70 19.0      5     5
 15.40 23.2      5     5
 16.50 21.0      5     5
 16.00 23.0      5     5
 17.50 22.2      5     5
 16.60 24.5      5     5
 15.90 21.5      5     5
 16.20 24.0      5     3
 17.80 22.2      5     4
 16.30 22.8      5     4
 15.70 22.8      5     4
 16.10 21.2      5     4
 15.00 23.8      5     3
 16.00 22.7      5     3
 18.00 20.6      5     3
 17.12 21.1      5     4
 16.80 22.1      5     4
 19.30 25.7      5     2
 14.00 21.5      5     3
 14.70 22.0      5     3
 16.00 22.0      5     3
 16.30 21.3      3     5
 14.00 24.7      5     3
 14.40 22.0      5     4
 14.50 22.0      5     4
 15.70 19.7      5     4
 16.90 24.6      5     4
 16.70 22.5      5     4
 17.00 21.2      5     4
 15.10 21.9      3     4
 16.50 22.9      5     2
 16.50 20.6      5     2
 16.50 23.2      3     4
 17.80 25.6      3     4
 14.50 22.0      5     3
 14.90 24.1      5     3
 15.40 23.0      5     3
 15.80 20.0      5     3
 15.20 20.5      5     3
 16.00 21.2      5     3
 15.70 22.6      5     3
 14.80 19.0      5     3
 15.60 22.5      5     3
 16.90 21.5      5     3
 16.70 22.8      5     3
 16.20 21.0      5     3
 16.50 22.5      3     5
 16.00 17.5      5     3
 16.00 23.0      5     3
 16.50 23.9      5     3
 16.40 23.6      5     3
 16.40 22.3      5     3
 17.20 22.7      3     5
 15.80 19.4      5     4
 14.50 19.7      5     4
 15.20 24.0      5     4
 14.90 22.7      5     4
 15.00 22.4      5     4
 14.80 21.0      5     4
 15.40 22.3      5     4
 16.70 23.0      5     4
 15.00 21.8      5     4
 14.80 20.5      5     4
 15.50 21.1      5     4
 15.20 25.9      5     4
 17.30 23.3      5     4
 15.50 23.6      5     4
 16.50 19.0      5     4
 14.90 20.5      5     4
 16.30 22.3      5     4
 16.30 22.9      5     4
 17.10 23.1      5     4
 16.90 24.6      5     4
 17.00 24.0      5     4
 17.50 21.7      5     4
 16.40 21.8      1     2
 17.00 22.0      1     2
 18.50 23.5      1     2
 16.00 21.1      1     3
 17.30 23.1      1     3
 16.50 22.3      1     1
 16.70 22.4      1     1
 15.30 23.2      1     2
 16.50 23.0      1     2
 12.50 21.8      1     3
 14.50 22.7      1     3
 17.00 21.1      1     4
 15.30 19.3      1     1
 16.50 24.6      1     1
 17.60 22.4      1     2
 18.50 22.5      1     3
 17.80 20.7      1     3
 14.80 22.6      3     2
 17.80 22.3      3     2
 17.90 21.6      3     3
 15.70 23.9      1     1
 15.10 23.0      1     4
 15.30 21.0      3     3
 14.70 19.6      1     1
 16.20 21.2      1     1
 15.80 22.0      1     1
 15.30 21.2      1     1
 16.60 24.9      1     1
 17.50 21.3      1     1
 16.80 22.0      1     1
 16.00 23.5      1     1
 18.60 22.2      1     1
 14.00 21.3      1     2
 14.00 21.2      1     2
 14.30 22.0      1     2
 15.70 23.2      1     2
 14.80 23.2      1     2
 14.80 21.0      1     2
 15.00 21.8      1     2
 16.10 21.4      1     2
 16.40 21.4      1     2
 17.50 22.0      1     2
 16.80 21.2      1     2
 17.00 22.5      1     2
 14.00 24.0      1     3
 14.30 23.4      1     3
 15.50 21.8      3     1
 15.10 18.6      1     3
 14.50 20.0      1     3
 15.50 22.5      1     3
 17.10 21.5      1     3
 15.10 20.6      1     3
 17.20 22.5      1     3
 17.00 23.8      3     1
 14.10 21.0      3     2
 15.90 20.5      1     4
 17.30 24.0      1     4
 17.00 21.2      3     2
 18.10 23.0      1     4
 17.00 22.9      1     4
 14.20 22.1      3     3
 15.30 22.8      3     3
 15.50 24.9      3     3
 16.00 22.5      3     3
 14.90 19.0      3     3
 16.10 19.2      3     3
 16.50 23.8      3     3
 17.30 21.7      3     3
 15.50 20.9      3     3
 16.80 23.5      3     3
 15.60 22.5      3     3
 16.80 24.1      3     3
 17.50 23.0      3     3
 16.50 20.0      3     3
 13.70 22.3      5     5
 15.30 22.5      5     5
 14.90 22.0      5     5
 15.20 22.2      5     5
 15.20 25.1      5     5
 15.70 21.3      5     5
 15.80 23.4      5     5
 16.90 22.7      5     5
 15.90 22.1      5     5
 16.90 23.8      5     5
 15.70 22.9      5     5
 16.50 23.3      5     5
 15.50 25.9      5     5
 16.40 22.9      5     5
 16.40 22.3      5     5
 16.70 20.4      5     5
 16.60 25.0      5     5
 17.70 20.4      5     5
 17.40 23.9      5     5
 17.60 22.1      5     5
 16.30 25.9      5     5
 18.50 22.4      5     5
 17.80 22.3      5     5
 16.50 22.9      5     5
 16.30 21.0      3     4
 16.30 19.6      3     4
 16.90 24.4      3     4
 16.60 22.1      3     4
 16.60 24.4      3     4
 17.10 22.0      3     4
 16.90 22.5      3     4
 19.40 22.5      3     4
 14.50 23.3      5     3
 17.20 21.4      5     3
 16.70 24.7      5     3
 17.00 21.8      5     4
 14.30 23.0      5     4
 16.60 22.7      5     4
 16.80 22.1      5     4
 15.70 23.0      5     4
 15.30 21.6      5     4
 15.40 23.6      5     4
 16.50 22.1      5     4
 16.00 19.5      5     4
 16.40 20.9      5     4
 15.80 22.5      5     4
 18.30 22.2      5     4
 16.10 22.2      5     4
 15.80 21.7      5     4
 16.80 21.6      5     4
 15.40 21.6      5     4
 17.10 24.5      5     4
 15.90 21.3      5     4
 16.10 24.5      5     4
 16.40 21.2      5     4
 16.70 20.8      5     4
 16.70 24.5      5     4
 16.50 23.3      5     4
 16.90 21.8      5     4
 16.60 24.7      5     4
 17.90 22.7      5     4
 16.50 23.0      5     4
 17.60 21.6      5     4
 17.10 22.2      5     4
 16.90 22.7      5     4
 17.00 22.3      5     4
 16.80 22.2      5     4
 16.90 22.4      5     4
 18.10 20.0      5     4
 18.40 23.0      5     4
 15.10 21.4      5     4
 16.30 20.0      1     1
 16.80 24.5      1     1
 19.60 21.6      1     1
 17.90 23.9      1     2
 17.60 22.5      1     2
 18.10 20.7      1     3
 17.40 20.5      1     3
 16.60 19.7      1     3
 15.60 21.2      3     3
 16.00 24.6      3     3
 16.30 22.6      3     3
 16.40 20.1      3     3
 16.60 22.9      5     5
 16.60 21.4      5     5
 16.90 21.8      5     5
 16.40 24.2      5     5
 16.10 20.7      5     5
 14.30 22.9      5     5
 15.00 23.3      5     5
 16.50 25.9      5     5
 16.40 22.4      5     5
 17.20 23.3      5     5
 16.50 24.3      5     5
 15.90 23.9      5     5
 15.90 22.9      5     5
 17.60 23.9      5     5
 16.40 22.4      5     5
 17.20 24.1      5     5
 15.60 22.5      5     5
 16.60 23.2      5     5
 18.20 22.9      5     5
 17.80 22.6      5     5
 18.30 21.4      5     5
 17.80 20.3      5     5
 17.30 23.3      5     5
 14.50 25.6      3     4
 14.80 19.6      3     5
 15.60 21.0      5     3
 14.60 22.5      5     4
 14.70 24.5      5     4
 15.50 24.4      5     4
 16.40 20.3      5     4
 17.30 23.9      5     4
 16.90 21.7      5     4
 17.70 21.9      5     4
 15.80 22.7      3     4
 17.60 21.2      3     4
 17.10 25.3      5     3
 16.00 21.6      3     5
 17.10 22.7      5     3
 17.00 22.3      5     3
 15.40 22.9      5     4
 15.50 20.8      5     4
 15.90 20.9      5     4
 16.50 24.5      5     4
 16.80 20.7      5     4
 16.00 19.2      5     4
 16.60 22.0      5     4
 17.00 23.8      5     4
 17.50 22.3      5     4
 16.90 22.4      5     4
 15.50 22.0      5     4
 17.10 22.3      5     4
 16.30 22.5      5     4
 16.90 23.8      5     4
 16.50 22.2      5     4
 18.30 24.5      5     4
 18.20 22.0      5     4
 18.40 23.0      5     4
 13.60 21.6      3     4
 15.40 23.5      3     4
 14.60 20.9      3     4
 16.20 22.4      3     4
 17.60 23.3      5     2
 17.80 22.2      3     4
 18.40 22.0      3     4
 17.30 22.7      3     4
 18.20 23.5      3     4
 16.50 23.0      3     4
 14.50 20.9      5     3
 16.90 22.7      5     3
 16.80 21.0      5     3
 17.60 24.4      5     3
 18.20 22.1      5     3
 14.60 20.4      5     4
 14.90 22.5      5     4
 17.00 23.9      5     4
 14.30 22.4      5     4
 15.70 24.6      5     4
 15.90 22.3      5     4
 15.20 21.8      5     4
 16.90 20.9      5     4
 15.00 21.6      5     4
 16.70 21.0      5     4
 15.50 22.9      5     4
 15.90 26.0      5     4
 15.60 24.5      5     4
 16.10 23.6      5     4
 16.70 20.1      5     4
 16.50 23.0      5     4
 17.00 21.6      5     4
 16.40 23.0      5     4
 17.30 23.4      5     4
 19.00 22.3      5     4
 16.80 22.2      5     4
 17.90 21.7      5     4
 16.70 22.9      5     4
 17.30 25.5      5     4
 17.40 23.0      5     4
 16.90 22.5      5     4
 16.20 24.0      5     4
 18.20 25.1      5     4
 17.70 22.8      5     4
 17.50 21.1      5     4
 17.70 21.6      5     4
 17.20 23.5      5     4
 17.50 20.0      1     2
 15.30 23.4      3     3
 16.90 23.4      3     3
 17.60 23.4      3     3
 17.90 23.6      1     2
 17.60 24.2      1     2
 17.40 21.7      1     3
 18.30 23.4      3     1
 17.10 20.3      3     3
 16.60 22.8      3     3
 17.60 22.8      3     3
 17.60 22.9      1     1
 16.10 21.7      1     2
 15.60 25.6      1     2
 17.00 25.4      1     2
 16.20 23.0      1     3
 16.10 21.6      3     2
 17.50 22.9      3     3
 15.40 22.4      3     3
 15.40 23.4      3     3
 15.00 21.5      3     3
 15.40 20.2      3     3
 15.50 22.4      3     3
 17.00 20.1      3     3
 18.20 21.7      3     3
 18.40 21.3      3     3
 15.40 22.6      5     5
 16.30 24.2      5     5
 16.10 21.1      5     5
 16.10 21.3      5     5
 17.10 22.9      5     5
 15.80 20.1      5     5
 16.80 25.3      5     5
 17.80 22.7      5     5
 16.30 22.7      5     3
 16.40 21.6      3     5
 18.10 22.0      5     4
 17.10 22.4      5     4
 16.00 24.7      3     4
 15.80 22.0      5     4
 18.40 22.5      5     4
 17.50 23.9      5     4
 18.20 22.1      5     4
 15.40 21.9      3     4
 16.30 24.5      3     4
 18.20 21.7      5     2
 16.60 22.6      5     3
 16.80 21.9      5     3
 15.80 23.3      5     4
 15.20 23.0      5     4
 15.00 23.5      5     4
 17.20 22.4      5     4
 16.00 22.2      5     4
 14.80 22.3      5     4
 10.60 21.5      5     4
 16.70 21.8      5     4
 16.50 22.1      5     4
 16.30 24.5      5     4
 15.10 25.0      5     4
 16.50 20.8      5     4
 17.30 21.8      5     4
 17.00 21.6      5     4
 14.90 19.8      5     4
 16.90 22.9      5     4
 17.20 23.0      5     4
 17.90 22.0      5     4
 15.90 19.2      5     4
 17.40 23.2      5     4
 15.40 23.5      3     3
 18.00 23.4      3     3
 18.40 24.7      3     3
 14.20 22.7      1     2
 17.40 24.1      1     2
 18.20 23.7      3     2
 16.70 25.5      3     3
 16.90 22.5      3     3
 18.20 23.4      3     3
 16.80 20.6      1     1
 16.00 20.0      1     2
 17.40 23.6      1     2
 17.30 21.2      1     3
 15.50 21.6      3     2
 17.60 20.7      3     2
 16.00 21.7      3     3
 16.50 17.5      3     3
 17.00 20.1      3     3
 17.10 20.7      3     3
 16.20 23.6      3     3
 13.80 23.5      5     5
 14.30 23.2      5     5
 14.40 22.0      5     5
 13.90 22.0      5     5
 15.00 21.3      5     5
 15.20 24.8      5     5
 16.10 21.8      5     5
 15.20 24.4      5     5
 15.00 20.9      5     5
 16.70 21.0      5     5
 15.60 21.6      5     5
 16.20 21.0      5     5
 17.10 21.3      5     5
 16.90 21.7      5     5
 17.50 22.9      5     5
 15.60 21.8      5     5
  7.50 23.3      5     5
 15.60 22.3      3     4
 15.10 22.5      5     2
 16.00 22.9      5     2
 15.70 20.9      3     4
 16.40 22.6      3     4
 16.40 23.0      3     4
 14.60 19.9      5     3
 15.40 22.4      3     5
 15.50 19.5      5     3
 16.20 21.8      3     5
 16.50 23.0      3     5
 16.60 20.6      5     3
 16.40 20.9      5     3
 15.80 20.4      5     3
 16.70 19.5      5     3
 17.40 21.9      5     3
 17.50 20.5      3     5
 17.90 21.6      5     3
 17.10 23.0      5     3
 17.40 24.2      3     5
 14.50 21.3      5     4
 15.40 22.3      5     4
 16.70 20.0      5     4
 15.10 19.6      5     4
 16.00 24.5      5     4
 15.50 21.0      5     4
 17.10 19.3      5     4
 16.40 21.6      5     4
 17.60 19.5      5     4
 16.70 20.3      5     4
 16.00 20.1      5     4
 15.60 22.4      5     4
 18.00 23.5      5     4
 16.40 20.2      5     4
 17.70 20.5      5     4
 15.50 21.2      1     1
 16.50 18.8      1     1
 15.60 20.9      1     2
 16.00 22.5      3     1
 14.50 22.9      3     1
 15.90 21.0      3     1
 15.50 22.2      3     1
 17.10 21.0      3     1
 16.90 22.8      3     1
 16.20 22.3      3     1
 16.30 20.8      3     1
 15.70 20.4      3     2
 15.90 21.5      3     2
 16.90 22.9      3     2
 16.20 19.5      5     1
 16.60 22.2      5     1
 15.40 19.3      3     3
 16.00 22.1      3     3
 17.50 24.9      5     5
 16.50 22.0      5     5
 16.30 18.9      5     5
 16.30 21.8      5     5
 16.90 23.4      5     5
 16.70 21.8      5     5
 17.00 21.5      5     5
 16.20 20.2      3     4
 16.00 25.1      5     4
 16.40 25.5      3     4
 15.70 24.9      3     4
 17.60 24.9      3     4
 16.00 21.1      5     3
 16.10 21.7      5     3
 16.80 21.0      5     3
 15.40 19.8      5     4
 16.40 23.4      5     4
 17.70 22.1      5     4
 16.80 23.0      5     4
 15.50 22.0      3     4
 15.80 20.3      3     4
 16.40 21.0      3     4
 15.50 21.2      3     4
 14.50 20.5      5     3
 14.90 22.5      5     3
 15.60 21.3      5     3
 16.50 23.1      5     3
 15.80 24.4      3     5
 16.30 24.6      3     5
 16.00 21.8      3     5
 17.00 21.5      5     3
 18.60 22.5      5     3
 15.50 21.9      5     4
 14.90 21.6      5     4
 16.10 22.9      5     4
 16.30 21.2      5     4
 16.60 20.8      5     4
 16.40 21.5      5     4
 17.20 22.1      5     4
 16.50 21.3      5     4
 17.50 20.7      1     1
 15.10 18.7      1     2
 15.30 19.9      3     1
 16.60 22.7      3     2
 16.80 22.0      3     3
 16.50 23.4      5     1
 15.90 22.4      3     3
 17.90 21.1      3     3
 16.60 19.6      1     2
 15.80 22.5      1     2
 15.90 22.8      3     1
 16.80 20.8      3     1
 16.60 20.7      3     2
 16.00 23.2      3     2
 16.90 20.4      3     2
 17.50 22.1      3     2
 14.50 23.5      3     3
 17.40 21.5      3     3
 15.30 21.7      3     1
 16.50 23.0      3     1
 16.20 22.7      3     1
 15.00 22.5      1     3
 16.40 23.5      3     1
 19.00 24.8      3     1
 16.00 22.7      3     2
 15.90 22.0      3     2
 16.40 24.2      3     2
 15.80 20.3      3     2
 16.90 21.0      3     2
 15.90 22.7      3     2
 16.20 22.3      3     2
 17.10 23.6      3     2
 17.80 21.5      3     2
 14.90 23.0      3     3
 15.90 21.1      3     3
 16.00 24.1      3     3
 16.50 22.8      3     3
 15.40 21.9      3     3
 16.20 20.9      5     5
 18.40 22.5      5     5
 15.70 22.4      5     2
 15.70 19.3      3     4
 15.20 21.3      3     5
 15.90 22.7      5     3
 18.80 21.2      5     3
 14.70 23.0      3     5
 17.20 25.4      5     4
 17.40 24.4      5     4
 16.80 21.2      5     4
 17.60 22.6      5     4
 15.80 22.0      3     1
 17.90 20.6      3     1
 17.80 19.6      3     1
 15.90 18.6      1     5
 16.00 18.6      1     5
 17.90 22.5      5     1
 14.90 21.9      1     1
 14.90 22.7      3     1
 17.10 23.2      3     1
 14.90 22.4      3     2
 15.40 21.6      3     3
 15.60 21.1      3     3
 16.60 21.9      1     1
 15.20 21.1      3     1
 17.00 20.7      3     1
 16.00 22.2      3     2
 15.60 18.5      3     3
 17.00 22.0      3     3
 17.80 22.4      3     3
 15.70 22.4      5     5
 15.60 21.4      5     5
 16.00 19.6      5     5
 17.00 19.0      5     5
 17.50 22.5      5     5
 16.20 22.3      3     4
 14.40 20.8      3     4
 13.90 20.6      3     4
 14.80 19.0      3     4
 15.00 21.9      3     4
 16.60 21.2      5     2
 15.60 21.2      5     2
 15.10 23.0      3     4
 15.80 21.5      5     2
 17.00 21.6      3     4
 16.10 22.0      5     2
 17.90 23.9      5     2
 17.90 19.9      3     4
 16.30 21.5      3     4
 14.10 21.5      3     5
 15.60 21.2      5     3
 17.20 22.0      5     3
 16.00 20.1      3     5
 15.80 21.3      5     3
 17.20 19.3      5     3
 16.00 22.4      5     4
 15.40 22.0      5     4
 15.70 21.5      5     4
 16.60 21.8      5     4
 16.70 21.2      5     4
 17.90 19.5      5     4
 15.60 21.9      1     1
 16.30 21.9      1     1
 14.70 18.6      1     2
 17.40 24.3      1     2
 16.20 19.5      3     1
 15.80 23.9      3     1
 15.70 23.6      1     3
 16.10 21.3      3     1
 15.50 21.5      3     2
 17.90 22.1      3     2
 16.50 20.7      3     2
 15.70 22.8      3     2
 18.00 20.5      3     2
 15.10 22.2      3     3
 16.00 21.2      1     5
 15.50 19.7      3     3
 15.60 23.6      3     3
 16.90 20.5      3     3
