

   species   clutch   trt   jar   hatch   age  
     Aopa        3     S    15      1    43  
     Aopa        3     S    15      1    43  
     Aopa        3     S    15      1    43  
     Aopa        3     S    15      1    43  
     Aopa        3     S    15      1    43  
     Aopa        3     S    15      1    43  
     Aopa        3     S    15      1    43  
     Aopa        3     S    15      1    43  
     Aopa        3     S    15      1    43  
     Aopa        3     S    15      1    44  
     Aopa        3     S    15      1    44  
     Aopa        3     S    15      1    44  
     Aopa        3     S    15      1    44  
     Aopa        3     S    15      1    44  
     Aopa        3     S    15      1    44  
     Aopa        3     S    15      1    45  
     Aopa        3     S    15      1    45  
     Aopa        3     S    15      1    45  
     Aopa        3     S    15      1    55  
     Aopa        3     S    15      1    55  
     Aopa        3     S    15      1    56  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    15  
     Aopa        4     A    16      0    17  
     Aopa        4     A    16      1    25  
     Aopa        4     A    16      0    32  
     Aopa        4     A    16      0    32  
     Aopa        4     L    18      1    23  
     Aopa        4     L    18      1    23  
     Aopa        4     L    18      1    23  
     Aopa        4     L    18      1    24  
     Aopa        4     L    18      1    24  
     Aopa        4     L    18      1    25  
     Aopa        4     L    18      1    25  
     Aopa        4     L    18      1    26  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    29  
     Aopa        4     L    18      1    30  
     Aopa        4     L    18      1    34  
     Aopa        4     L    18      1    34  
     Aopa        4     L    18      1    34  
     Aopa        4     M    19      1    22  
     Aopa        4     M    19      1    22  
     Aopa        4     M    19      1    27  
     Aopa        4     M    19      1    27  
     Aopa        4     M    19      1    27  
     Aopa        4     M    19      1    27  
     Aopa        4     M    19      1    28  
     Aopa        4     M    19      1    28  
     Aopa        4     M    19      1    28  
     Aopa        4     M    19      1    28  
     Aopa        4     M    19      1    28  
     Aopa        4     M    19      1    28  
     Aopa        4     M    19      1    28  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     M    19      1    29  
     Aopa        4     S    20      0     7  
     Aopa        4     S    20      1    34  
     Aopa        4     S    20      1    39  
     Aopa        4     S    20      1    39  
     Aopa        4     S    20      1    40  
     Aopa        4     S    20      1    40  
     Aopa        4     S    20      1    40  
     Aopa        4     S    20      1    41  
     Aopa        4     S    20      1    43  
     Aopa        4     S    20      1    43  
     Aopa        4     S    20      1    43  
     Aopa        4     S    20      1    43  
     Aopa        4     S    20      1    43  
     Aopa        4     S    20      1    43  
     Aopa        4     S    20      1    43  
     Aopa        4     S    20      1    43  
     Aopa        4     S    20      1    43  
     Aopa        4     S    20      1    44  
     Aopa        4     S    20      1    44  
     Aopa        4     S    20      1    44  
     Aopa        4     S    20      1    45  
     Aopa        4     S    20      1    45  
     Aopa        4     S    20      1    45  
     Aopa        4     S    20      1    45  
     Aopa        4     S    20      1    46  
     Aopa        5     A    21      0     7  
     Aopa        5     A    21      0     9  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    13  
     Aopa        5     A    21      0    20  
     Aopa        5     A    21      0    20  
     Aopa        5     A    21      0    20  
     Aopa        5     L    22      1    21  
     Aopa        5     L    22      1    26  
     Aopa        5     L    22      1    27  
     Aopa        5     L    22      1    27  
     Aopa        5     L    22      1    27  
     Aopa        5     L    22      1    27  
     Aopa        5     L    22      1    28  
     Aopa        5     L    22      1    28  
     Aopa        5     L    22      1    28  
     Aopa        5     L    22      1    28  
     Aopa        5     L    22      1    29  
     Aopa        5     L    22      1    33  
     Aopa        5     L    22      1    33  
     Aopa        5     L    22      1    33  
     Aopa        5     L    22      1    33  
     Aopa        5     L    22      1    33  
     Aopa        5     L    22      1    33  
     Aopa        5     L    22      1    45  
     Aopa        5     L    22      1    51  
     Aopa        5     M    23      1    22  
     Aopa        5     M    23      1    22  
     Aopa        5     M    23      1    23  
     Aopa        5     M    23      1    25  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    30  
     Aopa        5     M    23      1    31  
     Aopa        5     M    23      1    31  
     Aopa        5     M    23      1    31  
     Aopa        5     M    23      1    31  
     Aopa        5     M    23      1    32  
     Aopa        5     M    23      1    32  
     Aopa        5     M    23      1    32  
     Aopa        5     S    24      1    22  
     Aopa        5     S    24      1    22  
     Aopa        5     S    24      1    22  
     Aopa        5     S    24      1    22  
     Aopa        5     S    24      1    22  
     Aopa        5     S    24      1    23  
     Aopa        5     S    24      1    23  
     Aopa        5     S    24      1    23  
     Aopa        5     S    24      1    24  
     Aopa        5     S    24      1    43  
     Aopa        5     S    24      1    43  
     Aopa        5     S    24      1    43  
     Aopa        5     S    24      1    43  
     Aopa        5     S    24      1    43  
     Aopa        5     S    24      1    43  
     Aopa        5     S    24      1    43  
     Aopa        5     S    24      1    44  
     Aopa        5     S    24      1    44  
     Aopa        5     S    24      1    44  
